Step,Psw_M1,Psw_M2,Psw_M3,Vds_M1,Vds_M2,Vds_M3
1,0.0001212381,0.001198195,0.000266176,5.0,5.0,5.0
2,0.001108459,0.001197843,0.000266173,15.0,5.0,5.0
3,0.003143055,0.001198002,0.000266174,25.0,5.0,5.0
4,0.00659709,0.001197984,0.00026617700000000004,35.0,5.0,5.0
5,0.00934199,0.00119788,0.00026617700000000004,40.0,5.0,5.0
6,2.107319e-05,0.01081001,0.000266151,5.0,15.0,5.0
7,0.0001849758,0.01080953,0.000266153,15.0,15.0,5.0
8,0.000623618,0.01081029,0.00026615600000000003,25.0,15.0,5.0
9,0.001280594,0.01081018,0.00026615600000000003,35.0,15.0,5.0
10,0.001617753,0.01081,0.00026615199999999997,40.0,15.0,5.0
11,6.55127e-05,0.02999741,0.00026614900000000003,5.0,25.0,5.0
12,0.00046151899999999997,0.02999084,0.000266151,15.0,25.0,5.0
13,0.001288805,0.029987810000000004,0.000266151,25.0,25.0,5.0
14,0.002420851,0.02994955,0.000266146,35.0,25.0,5.0
15,0.0034624700000000005,0.02998328,0.00026614900000000003,40.0,25.0,5.0
16,4.3934900000000005e-05,0.05873564,0.00026614499999999997,5.0,35.0,5.0
17,0.00044963899999999994,0.0587452,0.000266146,15.0,35.0,5.0
18,0.001041264,0.05874271,0.00026614499999999997,25.0,35.0,5.0
19,0.002119641,0.058745729999999996,0.000266144,35.0,35.0,5.0
20,0.0031104799999999997,0.05875896,0.000266146,40.0,35.0,5.0
21,3.70717e-05,0.0768269,0.000266146,5.0,40.0,5.0
22,0.00039453,0.076835,0.000266147,15.0,40.0,5.0
23,0.001100476,0.076836,0.000266147,25.0,40.0,5.0
24,0.00218418,0.0768314,0.000266147,35.0,40.0,5.0
25,0.0026347999999999996,0.0768399,0.000266146,40.0,40.0,5.0
26,0.0001212381,0.001198195,0.00239567,5.0,5.0,15.0
27,0.001108459,0.001197843,0.00239564,15.0,5.0,15.0
28,0.003143055,0.001198002,0.00239567,25.0,5.0,15.0
29,0.00659709,0.001197984,0.00239568,35.0,5.0,15.0
30,0.00934199,0.00119788,0.00239568,40.0,5.0,15.0
31,2.107319e-05,0.01081001,0.00239545,5.0,15.0,15.0
32,0.0001849758,0.01080953,0.0023954700000000002,15.0,15.0,15.0
33,0.000623618,0.01081029,0.00239549,25.0,15.0,15.0
34,0.001280594,0.01081018,0.00239549,35.0,15.0,15.0
35,0.001617753,0.01081,0.00239546,40.0,15.0,15.0
36,6.55127e-05,0.02999741,0.00239544,5.0,25.0,15.0
37,0.00046151899999999997,0.02999084,0.00239545,15.0,25.0,15.0
38,0.001288805,0.029987810000000004,0.00239545,25.0,25.0,15.0
39,0.002420851,0.02994955,0.0023954099999999997,35.0,25.0,15.0
40,0.0034624700000000005,0.02998328,0.00239544,40.0,25.0,15.0
41,4.3934900000000005e-05,0.05873564,0.00239539,5.0,35.0,15.0
42,0.00044963899999999994,0.0587452,0.0023954,15.0,35.0,15.0
43,0.001041264,0.05874271,0.00239539,25.0,35.0,15.0
44,0.002119641,0.058745729999999996,0.00239539,35.0,35.0,15.0
45,0.0031104799999999997,0.05875896,0.00239541,40.0,35.0,15.0
46,3.70717e-05,0.0768269,0.0023954199999999997,5.0,40.0,15.0
47,0.00039453,0.076835,0.0023954199999999997,15.0,40.0,15.0
48,0.001100476,0.076836,0.0023954199999999997,25.0,40.0,15.0
49,0.00218418,0.0768314,0.0023954199999999997,35.0,40.0,15.0
50,0.0026347999999999996,0.0768399,0.0023954099999999997,40.0,40.0,15.0
51,0.0001212381,0.001198195,0.0066549,5.0,5.0,25.0
52,0.001108459,0.001197843,0.00665482,15.0,5.0,25.0
53,0.003143055,0.001198002,0.00665489,25.0,5.0,25.0
54,0.00659709,0.001197984,0.00665492,35.0,5.0,25.0
55,0.00934199,0.00119788,0.0066549,40.0,5.0,25.0
56,2.107319e-05,0.01081001,0.00665428,5.0,15.0,25.0
57,0.0001849758,0.01080953,0.00665435,15.0,15.0,25.0
58,0.000623618,0.01081029,0.00665438,25.0,15.0,25.0
59,0.001280594,0.01081018,0.00665439,35.0,15.0,25.0
60,0.0017041130000000002,0.01081008,0.0066543,40.0,15.0,25.0
61,6.55127e-05,0.02999741,0.0066542500000000004,5.0,25.0,25.0
62,0.000461695,0.02999085,0.00665428,15.0,25.0,25.0
63,0.001288807,0.029987810000000004,0.00665429,25.0,25.0,25.0
64,0.002420844,0.02994955,0.00665419,35.0,25.0,25.0
65,0.0034468600000000004,0.02998327,0.00665426,40.0,25.0,25.0
66,4.3934900000000005e-05,0.05873564,0.00665414,5.0,35.0,25.0
67,0.00044957899999999997,0.0587452,0.00665416,15.0,35.0,25.0
68,0.001041264,0.05874271,0.00665414,25.0,35.0,25.0
69,0.00211965,0.058745729999999996,0.00665412,35.0,35.0,25.0
70,0.00292711,0.058759399999999996,0.0066542,40.0,35.0,25.0
71,3.70717e-05,0.0768269,0.00665421,5.0,40.0,25.0
72,0.00039453,0.076835,0.00665421,15.0,40.0,25.0
73,0.001100476,0.076836,0.00665422,25.0,40.0,25.0
74,0.00218418,0.0768314,0.00665421,35.0,40.0,25.0
75,0.0025535899999999997,0.0768397,0.00665419,40.0,40.0,25.0
76,0.0001212381,0.001198195,0.013044110000000001,5.0,5.0,35.0
77,0.001108459,0.001197843,0.01304397,15.0,5.0,35.0
78,0.003143055,0.001198002,0.01304406,25.0,5.0,35.0
79,0.00659709,0.001197984,0.013044130000000001,35.0,5.0,35.0
80,0.00934199,0.00119788,0.013044090000000001,40.0,5.0,35.0
81,2.107319e-05,0.01081001,0.01304288,5.0,15.0,35.0
82,0.0001849758,0.01080953,0.01304301,15.0,15.0,35.0
83,0.000623621,0.01081029,0.01304308,25.0,15.0,35.0
84,0.001147961,0.010810170000000001,0.01304312,35.0,15.0,35.0
85,0.001717413,0.01081008,0.013042930000000001,40.0,15.0,35.0
86,6.55127e-05,0.02999741,0.01304288,5.0,25.0,35.0
87,0.000461695,0.02999085,0.01304287,15.0,25.0,35.0
88,0.001346708,0.029985320000000003,0.01304287,25.0,25.0,35.0
89,0.002420818,0.02994955,0.01304274,35.0,25.0,35.0
90,0.0036339600000000003,0.02998443,0.01304292,40.0,25.0,35.0
91,4.3934900000000005e-05,0.05873564,0.01304266,5.0,35.0,35.0
92,0.00044957899999999997,0.0587452,0.01304267,15.0,35.0,35.0
93,0.0010411370000000001,0.058742619999999995,0.01304262,25.0,35.0,35.0
94,0.00211969,0.058745729999999996,0.0130426,35.0,35.0,35.0
95,0.00288188,0.058760559999999996,0.01304276,40.0,35.0,35.0
96,3.70717e-05,0.0768269,0.01304275,5.0,40.0,35.0
97,0.000394531,0.076835,0.01304277,15.0,40.0,35.0
98,0.00110049,0.076836,0.01304279,25.0,40.0,35.0
99,0.002184178,0.0768314,0.01304278,35.0,40.0,35.0
100,0.00255542,0.0768397,0.013042729999999999,40.0,40.0,35.0
101,0.0001212381,0.001198195,0.017037539999999997,5.0,5.0,40.0
102,0.001108459,0.001197843,0.017037370000000003,15.0,5.0,40.0
103,0.003143055,0.001198002,0.01703747,25.0,5.0,40.0
104,0.00659709,0.001197984,0.017037570000000002,35.0,5.0,40.0
105,0.00934199,0.00119788,0.0170375,40.0,5.0,40.0
106,2.107319e-05,0.01081001,0.017035929999999998,5.0,15.0,40.0
107,0.0001849758,0.01080953,0.01703609,15.0,15.0,40.0
108,0.000596914,0.01081034,0.01703613,25.0,15.0,40.0
109,0.0013317440000000002,0.01080997,0.0170362,35.0,15.0,40.0
110,0.001723553,0.01081007,0.01703599,40.0,15.0,40.0
111,6.55127e-05,0.02999741,0.01703594,5.0,25.0,40.0
112,0.000461695,0.02999085,0.01703591,15.0,25.0,40.0
113,0.001346865,0.029985320000000003,0.01703592,25.0,25.0,40.0
114,0.002311511,0.02994949,0.017035719999999997,35.0,25.0,40.0
115,0.0036723500000000004,0.02998418,0.01703591,40.0,25.0,40.0
116,4.3934900000000005e-05,0.05873564,0.01703566,5.0,35.0,40.0
117,0.000373539,0.058744779999999996,0.01703566,15.0,35.0,40.0
118,0.001041133,0.05874263,0.01703559,25.0,35.0,40.0
119,0.0024371899999999997,0.058747469999999996,0.017035639999999998,35.0,35.0,40.0
120,0.00289208,0.058756659999999995,0.01703563,40.0,35.0,40.0
121,3.70717e-05,0.0768269,0.01703576,5.0,40.0,40.0
122,0.000394531,0.076835,0.017035790000000002,15.0,40.0,40.0
123,0.00110049,0.076836,0.017035830000000002,25.0,40.0,40.0
124,0.002184178,0.0768314,0.01703582,35.0,40.0,40.0
125,0.002430911,0.0768398,0.0170357,40.0,40.0,40.0
