FuncType;InfNum;Name;Prio
130;162;GRUND: Hand-Ein EXT;1
128;38;GRUND: Autom.fall U EXT;1
131;29;AUSG : S.h. rückgestellt;1
131;197;AUSG : Ausg.r. blockiert;1
130;170;GRUND: LS Ein 3p EXT;1
130;176;ST_ME: Triggern EXT;1
132;2;P<>  : Blockieren tQ> EXT;1
132;3;P<>  : Blockieren tQ>> EXT;1
130;221;GRUND: Parallel Aus EXT;1
130;148;GRUND: Man. Aus K. EXT;1
131;215;U<>  : Block. tUNE>2 EXT;1
131;216;U<>  : Block. tUmit>1 EXT;1
131;178;GRUND: Sperre 1p Aus EXT;1
131;182;ZUKS : Par. AWE läuft EXT;1
131;187;GRUND: Freig. man.Ein K.EXT;1
131;211;U<>  : Blockieren tU>2 EXT;1
131;212;U<>  : Blockieren tU<1 EXT;1
131;213;U<>  : Blockieren tU<2 EXT;1
131;214;U<>  : Block. tUNE>1 EXT;1
130;223;GRUND: Autom.fall Uref EXT;1
130;72;LSV  : Anregeauslösung EXT;1
130;163;DIST : Meßbereich erw. EXT;1
132;202;P<>  : Blockieren tP<  EXT;1
132;203;P<>  : Blockieren tP<<  EXT;1
132;207;P<>  : Blockieren tQ<  EXT;1
132;208;P<>  : Blockieren tQ<<  EXT;1
132;212;LSV  : LS Störung EXT;1
132;214;LSV  : Blockade EXT;1
132;192;LSV  : Start 3p EXT;1
132;170;LSV  : Freigabe Start EXT;1
133;29;U<>  : Block. tUref<2 EXT;1
132;99;DIST : Blockieren Z1 EXT;1
132;91;DIST : Blockieren Z1.Ü EXT;1
132;92;DIST : Blockieren Z2 EXT;1
132;93;DIST : Blockieren Z3 EXT;1
132;94;DIST : Blockieren Z4 EXT;1
132;95;DIST : Blockieren Z5 EXT;1
132;96;DIST : Blockieren Z6 EXT;1
132;97;DIST : Blockieren Z9 EXT;1
132;98;DIST : Blockieren Z10 EXT;1
132;133;GRUND: Aus Mitnahme EXT;1
133;26;U<>  : Block. tUref>1 EXT;1
131;208;GRUND: Blockieren 1 EXT;1
131;209;GRUND: Blockieren 2 EXT;1
131;217;U<>  : Block. tUmit>2 EXT;1
131;218;U<>  : Block. tUmit<1 EXT;1
131;219;U<>  : Block. tUmit<2 EXT;1
131;220;U<>  : Block. tUgegen>1 EXT;1
131;221;U<>  : Block. tUgegen>2 EXT;1
131;210;U<>  : Blockieren tU>1 EXT;1
128;21;GRUND: Prüf-Modus;1
133;1;ST_AZ: Ereign.trig. angespr;1
133;115;ZUKS : Ltg. spannungslos;1
128;84;GRUND: Generalanregung;1
132;127;GRUND: Gen. Aus Meldung;1
131;44;ES_AZ: Ereignis läuft;1
130;22;ÜL_AZ: Ereignis läuft;1
130;220;ST_AZ: Ereignis läuft;1
128;27;LOGIK: Eingang 01 EXT;1
128;28;LOGIK: Eingang 02 EXT;1
128;29;LOGIK: Eingang 03 EXT;1
128;30;LOGIK: Eingang 04 EXT;1
131;95;LOGIK: Eingang 05 EXT;1
131;96;LOGIK: Eingang 06 EXT;1
131;97;LOGIK: Eingang 07 EXT;1
131;98;LOGIK: Eingang 08 EXT;1
131;99;LOGIK: Eingang 09 EXT;1
131;100;LOGIK: Eingang 10 EXT;1
131;101;LOGIK: Eingang 11 EXT;1
131;102;LOGIK: Eingang 12 EXT;1
131;103;LOGIK: Eingang 13 EXT;1
131;104;LOGIK: Eingang 14 EXT;1
131;105;LOGIK: Eingang 15 EXT;1
131;106;LOGIK: Eingang 16 EXT;1
133;117;LOGIK: Eingang 17 EXT;1
133;118;LOGIK: Eingang 18 EXT;1
133;119;LOGIK: Eingang 19 EXT;1
133;120;LOGIK: Eingang 20 EXT;1
133;121;LOGIK: Eingang 21 EXT;1
133;122;LOGIK: Eingang 22 EXT;1
133;123;LOGIK: Eingang 23 EXT;1
133;124;LOGIK: Eingang 24 EXT;1
133;125;LOGIK: Eingang 25 EXT;1
133;126;LOGIK: Eingang 26 EXT;1
133;127;LOGIK: Eingang 27 EXT;1
133;128;LOGIK: Eingang 28 EXT;1
133;129;LOGIK: Eingang 29 EXT;1
133;130;LOGIK: Eingang 30 EXT;1
133;131;LOGIK: Eingang 31 EXT;1
133;132;LOGIK: Eingang 32 EXT;1
133;133;LOGIK: Eingang 33 EXT;1
133;134;LOGIK: Eingang 34 EXT;1
133;135;LOGIK: Eingang 35 EXT;1
133;136;LOGIK: Eingang 36 EXT;1
133;137;LOGIK: Eingang 37 EXT;1
133;138;LOGIK: Eingang 38 EXT;1
133;139;LOGIK: Eingang 39 EXT;1
133;140;LOGIK: Eingang 40 EXT;1
133;73;GRUND: LS Ein L3 EXT;1
130;166;GRUND: Parallel Aus L1 EXT;1
130;167;GRUND: Parallel Aus L2 EXT;1
130;168;GRUND: Parallel Aus L3 EXT;1
132;134;GRUND: Aus Mitnahme L1 EXT;1
132;135;GRUND: Aus Mitnahme L2 EXT;1
132;136;GRUND: Aus Mitnahme L3 EXT;1
133;18;MKÜ  : Blockade FF. U EXT;1
131;204;MKÜ  : Ugegen> angesprochen;1
128;35;MKÜ  : Phasenfolge U gest.;1
133;23;GRUND: LS Aus >=1p;1
133;74;GRUND: LS Aus L1;1
133;75;GRUND: LS Aus L2;1
133;76;GRUND: LS Aus L3;1
133;19;GRUND: LS Ein >=1p;1
131;34;GRUND: Man. Aus Meldung;1
133;2;GRUND: LS Aus 3p;1
133;17;GRUND: Aus Meldung 1. 3p;1
128;69;GRUND: Aus Kommando 1. L1;1
128;70;GRUND: Aus Kommando 1. L2;1
128;71;GRUND: Aus Kommando 1. L3;1
128;47;GRUND: Blockade/Störung;1
130;206;GRUND: Gerät nicht bereit;1
130;43;DIST : Meßbereich erw. KU;1
130;205;MKÜ  : Meßkreise U.I gest.;1
130;191;GRUND: Aus K. blockiert;1
130;181;MKÜ  : Unterspannung;1
130;198;ZUKS : Aus Meldung;1
132;255;GRUND: Senden Aus Mitnahme;1
130;185;DIST : Meßbereich erweitert;1
128;37;NOT  : wirksam;1
128;85;LSV  : LS-Versager;1
130;226;DIST : Aus Meldung;1
133;116;NOT  : Anregung IE>/>>/>>>;1
131;80;U<>  : Anregung U>1;1
131;81;U<>  : Anreg. U>x L1(-L2);1
131;82;U<>  : Anregung U>x L2(-L3);1
131;83;U<>  : Anregung U>x L3(-L1);1
131;84;U<>  : tU>1 abgelaufen;1
131;85;U<>  : tU>2 abgelaufen;1
131;86;U<>  : Anregung U<1;1
131;87;U<>  : Anregung U<x L1(-L2);1
131;88;U<>  : Anregung U<x L2(-L3);1
131;89;U<>  : Anregung U<x L3(-L1);1
131;90;U<>  : tU<1 abgelaufen;1
131;91;U<>  : tU<2 abgelaufen;1
131;92;U<>  : Anregung UNE>1;1
131;93;U<>  : tUNE>1 abgelaufen;1
131;94;U<>  : tUNE>2 abgelaufen;1
131;222;U<>  : Anregung U>2;1
131;5;ZUKS : Z1 erweitert;1
131;6;DIST : t1.Ü abgelaufen;1
131;13;DIST : tUSpeicher läuft;1
131;14;DIST : Anreg. umgesch. LE;1
130;50;DIST : Aus Meldung Zone 2;1
130;16;DIST : Aus Meldung Zone 3;1
130;17;DIST : Aus Meldung Zone 4;1
130;18;DIST : Aus Meldung Zone 5;1
130;19;DIST : Aus Meldung Zone 6;1
131;1;DIST : Aus Meldung Zone 1;1
131;3;DIST : Aus Meldung Zone 1.Ü;1
131;2;DIST : Aus Meldung Zone2-10;1
131;238;U<>  : Anregung Ugegen>1;1
131;239;U<>  : Anregung Ugegen>2;1
131;240;U<>  : tUgegen>1 abgelaufen;1
131;241;U<>  : tUgegen>2 abgelaufen;1
131;242;U<>  : tU<1 abgel. Wisch;1
131;244;U<>  : tU<1 3p abgel. Wisch;1
131;245;U<>  : tU<2 abgel. Wisch;1
131;246;U<>  : tUmit<1 abgel. Wisch;1
131;248;U<>  : tUmit<2 abgel. Wisch;1
130;248;U<>  : nicht bereit;1
131;201;THERM: Aus Meldung;1
135;240;U<>  : Anregung U<1 1p;1
130;119;ST_AZ: Zeitmarke falsch;1
130;51;DIST : eingeschaltet;1
130;158;DIST : tIE> läuft;1
131;30;GRUND: Rushst. L1 angespr.;1
131;31;GRUND: Rushst. L2 angespr.;1
131;32;GRUND: Rushst. L3 angespr.;1
130;231;MKÜ  : Meßkr. U. Uref gest.;1
131;8;U<>  : Störfall U<1;1
131;9;U<>  : Störfall U<1 3p;1
131;10;U<>  : Störfall U<2;1
131;11;U<>  : Störfall Umit<1;1
131;12;U<>  : Störfall Umit<2;1
131;7;MKÜ  : FF. U angesprochen;1
131;243;MKÜ  : FF.Uref angesprochen;1
131;15;GRUND: Definitives Aus;1
128;23;PSU  : PS 1 eingeschaltet;1
128;24;PSU  : PS 2 eingeschaltet;1
128;25;PSU  : PS 3 eingeschaltet;1
128;26;PSU  : PS 4 eingeschaltet;1
135;242;U<>  : Anregung U<3 1p;1
131;185;LSV  : eingeschaltet;1
131;190;NOT  : eingeschaltet;1
131;191;MKÜ  : eingeschaltet;1
131;193;ZUKS : eingeschaltet;1
130;186;ZUKS : tHand-Ein läuft;1
130;63;MKÜ  : Peripheriestörung;1
135;241;U<>  : Anregung U<2 1p;1
130;194;LOGIK: eingeschaltet;1
131;73;U<>  : eingeschaltet;1
131;223;U<>  : Anregung U>1 3p;1
131;224;U<>  : tU>1 3p abgelaufen;1
