,Inhalt
0,495.2544354917629
1,499.13481080105834
2,499.16046011099075
3,497.8128818396751
4,496.2933612146003
5,497.99541518330733
6,498.4240759855127
7,497.4719641669763
8,497.1563620464114
9,497.6936065790947
10,496.7858356657853
11,498.6968540886331
12,497.6072337152932
13,494.2948544410951
14,498.1102990774201
15,498.26368043003333
16,498.28781401810414
17,498.82821130064866
18,497.6061791223856
19,497.77501077557656
20,499.5504935573022
21,497.1143412057722
22,497.52508564880947
23,497.7580483154577
24,498.7878412297481
25,496.7752197400085
26,497.32525433231615
27,498.4138695734527
28,494.80872343649173
29,498.32564113642184
30,498.6587680471969
31,498.89807078739904
32,500.22610115114617
33,496.6298654679835
34,499.26443180607185
35,495.7659447477395
36,495.98979338130397
37,498.22930395342706
38,498.78820009819765
39,498.0349985310411
40,498.2019136034018
41,498.29088821474784
42,498.2304718422375
43,499.01152253802354
44,498.11674824173053
45,498.2634631802083
46,498.7660083801589
47,498.09273451228773
48,498.2020227819582
49,495.4639687782911
50,498.48880159219067
51,497.6673084437454
52,496.7880991415132
53,497.6060314308515
54,497.22666409571735
55,497.61406146109437
56,498.09649548882925
57,499.12736211372834
58,496.97606956923477
59,498.67586199568575
60,499.3330782638126
61,498.26237726309677
62,497.6139314489838
63,498.6484887332281
64,498.7012503292914
65,497.72708754384905
66,497.34040778833815
67,498.99489932624095
68,498.7477274703038
69,498.19587942965967
70,498.21522824780817
71,499.15998140437216
72,498.32448820298913
73,499.05926230350974
74,499.00073471735965
75,500.94062980738335
76,496.7166399804852
77,497.4197271329143
78,495.4821951405469
79,498.26663765868716
80,499.7692779323558
81,497.46906709987405
82,497.98251113724774
83,496.6558203033906
84,497.8856294927221
85,496.0734852037966
86,495.3929090996504
87,500.1497478588373
88,500.0206358678781
89,497.22026567347643
90,497.68266372187225
91,496.5278974777679
92,496.9857477963329
93,495.87478944424646
94,499.892629416884
95,498.4506398086833
96,498.2042793120185
97,495.29787450074633
98,497.3128577113076
99,499.8068124075755
100,495.34622231763643
101,497.613656520487
102,499.2355415043922
103,494.37616764682394
104,496.5455140662975
105,496.51797140687574
106,499.0614549419617
107,499.4219616480844
108,497.3940200005838
109,498.96665092562796
110,497.35151354444594
111,498.5329929029124
112,497.342764236221
113,499.4488564728667
114,498.3839785616998
115,497.5410150597493
116,499.25871782588274
117,497.0446923498692
118,498.14280687636773
119,497.6106687135556
120,498.62021643330945
121,498.80454636459734
122,498.7620496136891
123,497.2763971994388
124,499.2720604743911
125,497.9259404634951
126,499.78951731682287
127,497.10957543805137
128,497.87285494453937
129,498.7165021363868
130,500.25997517296554
131,500.14413950885944
132,498.563260943661
133,497.9499415162474
134,496.8118071195596
135,498.97516509112864
136,500.93000960291414
137,496.9993599082643
138,496.6322841666727
139,500.2130840660538
140,497.6863614055855
141,498.43208458513857
142,499.10611468533676
143,497.8793143582943
144,498.55300807117953
145,498.48012599219004
146,496.00550514903944
147,499.31735958267876
148,498.49427111915134
149,496.66809770101963
150,496.84677364575623
151,497.999500352424
152,496.2329248408368
153,497.8637930106161
154,496.28298027845756
155,498.61548306195874
156,497.2489806168094
157,498.43684754637223
158,499.52439920601597
159,498.3390349007482
160,499.07212751500253
161,500.81775463053583
162,500.5167842566822
163,498.8048253018785
164,497.6301256217051
165,495.963405748402
166,498.91853482279964
167,496.6317336763757
168,497.9612592656082
169,498.2773057520026
170,497.1944393843179
171,497.82957405401174
172,498.30527115620333
173,496.5428064981191
174,497.9249142792119
175,497.3453066467995
176,497.2923718018489
177,499.1001799197269
178,499.1608180519786
179,498.7526133811152
180,496.07503380038787
181,496.74276164173955
182,495.27159867190016
183,496.5700403743769
184,497.93756410330957
185,497.21768076596646
186,496.19605974516264
187,499.97107268275846
188,497.4517720118962
189,495.6461667825386
190,498.6430004667889
191,499.8564906535593
192,496.1237473449094
193,498.6011063738537
194,499.06601561870684
195,498.86321574819044
196,497.69834725825507
197,498.72163034074845
198,496.74564119274345
199,498.4414358557201
200,498.7390538106813
201,499.2937974591686
202,498.9541688646568
203,498.58757266611957
204,497.5862634132325
205,498.79367344106424
206,497.54655461350006
207,496.3236408010062
208,498.50296678493635
209,498.3093669247103
210,495.3373561882232
211,497.91871355148805
212,499.3010126591494
213,496.0286792215425
214,495.3922151237383
215,497.9100507405299
216,497.3380457715003
217,498.28195364488494
218,497.92796007253094
219,498.9864654356844
220,497.9535708585863
221,499.74806418161734
222,498.7557015107501
223,500.62340105333345
224,498.41455496424294
225,497.9627420271392
226,498.85665282735914
227,495.57787597911687
228,499.2637739036768
229,497.6708299862198
230,497.41854402772515
231,498.38314183735673
232,498.25946963505004
233,499.8085349714588
234,496.6521961686413
235,498.887298401732
236,498.4823827904324
237,499.09003391097053
238,498.5270347609538
239,498.7381011834939
240,498.2789280413111
241,497.53991349897956
242,498.3746993614283
243,497.47641623254975
244,498.3941394755766
245,499.09630526607594
246,497.38639240021564
247,496.7100393071094
248,498.77885778541355
249,496.9367275480902
250,498.86875701370894
251,499.9352568110834
252,497.1568021097019
253,498.60117597252037
254,498.8196954107524
255,498.2100730757338
256,496.0732987748123
257,497.3376809873357
258,495.94386653801257
259,497.6712607665321
260,498.7346721914294
261,498.9950713140835
262,499.6855239191067
263,498.85943124941105
264,496.50597544942707
265,497.4037502359608
266,497.57384402227314
267,497.0745059396585
268,499.12624793342627
269,497.9386335688217
270,497.5882674106509
271,498.35207178665974
272,496.70955216945725
273,499.44095005565015
274,497.7449724895178
275,497.5167724820893
276,496.4937180840886
277,497.7949886341536
278,497.75585929098105
279,495.6822250085212
280,496.75646441905883
281,498.9917639945765
282,499.3407706099243
283,498.5421960761947
284,499.6920058262465
285,500.89265919260913
286,498.1079754048312
287,498.7691919841968
288,498.2580008098171
289,497.158994355857
290,495.68017775210194
291,496.620253923464
292,496.954870075524
293,496.8131148377344
294,498.06077880907264
295,498.1573900445943
296,496.1857013809818
297,499.11393285102355
298,496.96381201444956
299,499.04454983362047
300,500.7952807974802
301,498.6218690739344
302,496.7337217981329
303,498.45877452094567
304,498.96124132521345
305,496.2888004132946
306,497.96101138027535
307,496.37703032967903
308,498.5141777008572
309,497.9267019517924
310,498.2675263415189
311,496.99979362054273
312,498.49549386750937
313,498.1482813223807
314,499.8079476703526
315,501.047142420643
316,499.21676853354
317,498.75520386781096
318,499.8771358665703
319,497.31438363562137
320,496.9749593995853
321,497.39524252556345
322,498.40423868202276
323,497.5395275411291
324,497.8483695851041
325,498.6931989794152
326,497.65718440872126
327,497.6395522534157
328,499.82965948085416
329,495.3216797198006
330,500.2541364623409
331,498.7178828238897
332,497.12311875885797
333,497.035387312291
334,499.940464504747
335,498.9190853341926
336,498.77399745721493
337,499.3459670213058
338,499.20873023310673
339,496.9030109667347
340,498.2757001627607
341,497.4812779979827
342,497.84470595539614
343,497.6376803442371
344,497.43390301599834
345,497.1153226729903
346,496.26342923291816
347,497.6756421937015
348,499.59855186732244
349,497.1634011170509
350,497.96401202801576
351,501.3875151170733
352,497.5706667084139
353,497.5492425322435
354,495.4217584698787
355,496.25374943805406
356,499.9181950421122
357,494.1427216707661
358,497.6339210432374
359,498.5420454586909
360,497.05524404097247
361,496.05658967348273
362,498.2885207271693
363,498.6273367775476
364,498.9512206543502
365,499.85613694732046
366,498.8732002266643
367,497.7352086701504
368,498.98124136364436
369,498.50909015090826
370,497.692210068397
371,497.6947394546195
372,498.33246680069306
373,496.5132744882588
374,497.60624205951984
375,496.90602577239525
376,496.92527575929375
377,496.7656205523731
378,499.048193050701
379,496.9639562355053
380,497.11798477362674
381,499.5236211362149
382,498.1922385464177
383,496.8568891833046
384,495.60837597434875
385,497.1804013046925
386,498.3568428244221
387,497.90226695123727
388,499.36285410075357
389,496.84208095599206
390,497.6856722835818
391,498.11162728456804
392,497.70306783844916
393,497.99123465379813
394,496.43444576863635
395,500.6142902566359
396,499.110317727563
397,498.7978592776986
398,498.6288203105816
399,499.04279756382186
400,497.8859564834604
401,497.7515670983825
402,499.12428956127314
403,497.1325177436542
404,496.89825989594146
405,497.5814510273347
406,497.4124636970479
407,497.2975908406279
408,499.4350991733986
409,498.53441715238546
410,497.4952756777599
411,499.3544776922887
412,497.32170289281436
413,499.80922629627383
414,497.16880239737526
415,499.260469851743
416,498.46106357426396
417,497.81438269670736
418,498.0069500793976
419,497.66721281497144
420,498.29200639283533
421,496.9416256814809
422,497.36875122579295
423,498.3744255851217
424,496.61826147621053
425,498.289484350081
426,499.5450882301059
427,499.64645217228957
428,498.6034606766854
429,497.37860145959854
430,499.97549280591693
431,498.0997848445949
432,499.0008235721112
433,497.52069948242394
434,499.3454345371683
435,497.50027283884646
436,498.3268547507632
437,498.24832818046195
438,497.1858114971408
439,498.96392957262077
440,496.8683871979117
441,497.95951522897315
442,497.58566861009956
443,499.7612427545807
444,497.3446357833375
445,497.75606008677676
446,498.0699200448826
447,498.6260703298955
448,498.08908457721475
449,499.32532443208055
450,495.01906940687604
451,500.5324386631864
452,497.9016216687118
453,498.19662879070586
454,497.54827120455116
455,497.9192839810633
456,497.1428756285301
457,498.7984454258746
458,499.0924848555389
459,497.23772378665035
460,495.4006455757845
461,498.2031721233606
462,496.6982623925015
463,497.2192460144462
464,498.7735743862695
465,497.7664064585351
466,499.2203723035041
467,496.7500702292977
468,497.69713216619505
469,499.55221639266676
470,498.6224941110495
471,498.585640237632
472,497.43897586167753
473,500.4085882334046
474,497.6540499498305
475,496.45927689568435
476,495.61857668390314
477,500.41437343612483
478,497.15496143933143
479,497.6026755157103
480,497.0054911838037
481,495.81585124074246
482,499.6445810228683
483,499.1927711227723
484,496.69944354192364
485,498.69340561101785
486,498.54369247780016
487,498.9096953790831
488,497.16310053901367
489,497.263944783875
490,499.33771644782087
491,500.91636655630055
492,497.751912566424
493,498.45001584711207
494,497.1529434807775
495,496.4413671043443
496,499.4625868614585
497,498.51654748743033
498,498.1696458723286
499,498.6842622979164
500,498.8943003370677
501,499.2187612640962
502,496.3567613932301
503,497.91063192177387
504,500.19550155192155
505,498.60160655004506
506,497.1617788948182
507,497.64116268361516
508,497.78635688976976
509,497.3979477949861
510,497.79422647365215
511,497.7135922740656
512,498.23868830999817
513,497.9657359731174
514,499.1996212178343
515,498.3494110492289
516,496.7562626028976
517,498.4713996888854
518,498.8653193566287
519,497.1123744070542
520,498.3344444800263
521,499.66247694345196
522,496.07985710756554
523,497.1897042611941
524,498.05806484082945
525,496.25799248396584
526,498.79654478975795
527,498.8317399523462
528,497.25144745179136
529,497.76543048789387
530,500.578974903719
531,497.48576235759106
532,498.814443732922
533,499.1118393299177
534,499.9161222427663
535,500.372393256179
536,498.4549091902472
537,498.148284797722
538,500.3816458168948
539,500.7443369673067
540,496.6076276391664
541,498.61732412240525
542,497.0253060181023
543,496.75982241153343
544,498.1794438334781
545,498.9451747155257
546,497.92249995599354
547,498.8179670610071
548,499.38553571151675
549,497.62156156902023
550,494.33759263485535
551,497.5147353748391
552,498.0024794615534
553,496.4435682010741
554,497.07207140776853
555,499.87020697432826
556,497.7965664248801
557,498.2993663055374
558,497.11720344156447
559,497.72771889875406
560,497.5722615479241
561,499.0933356055535
562,497.59779097079456
563,499.17789846543843
564,498.11987858675263
