TransactionID;Date;Time;CustomerID;Age;Gender;Location;StoreID;OnlineOrderFlag;ProductID;ProductName;Category;Quantity;UnitPrice;TotalPrice;PaymentType;PromotionApplied;DiscountAmount;Total Sales;GiftWrap;ShippingMethod;DeliveryTime;Weather;Event;CustomerSatisfaction;ReturnFlag
1;24.12.2020;07:27:59;441;27;Other;City_15;;WAHR;106;Toys_Product;Toys;5;96,78625465;483,9312732;Credit Card;FALSCH;0;483,9312732;FALSCH;Standard;5;Snowy;None;5;FALSCH
2;18.11.2022;14:36:39;340;43;Male;City_13;;WAHR;816;Clothing_Product;Clothing;1;95,27957916;95,27957916;Credit Card;WAHR;0;95,27957916;WAHR;Express;3;Sunny;None;2;WAHR
3;26.12.2019;20:23:50;31;25;Other;City_7;92;FALSCH;508;Clothing_Product;Clothing;2;52,37164537;104,7432907;Credit Card;FALSCH;0;104,7432907;FALSCH;;;Rainy;Christmas Market;4;FALSCH
4;13.11.2018;23:08:08;39;64;Male;City_20;100;FALSCH;710;Toys_Product;Toys;5;63,64729257;318,2364628;Debit Card;FALSCH;0;318,2364628;WAHR;;;Rainy;None;1;WAHR
5;13.12.2020;04:38:08;344;26;Other;City_10;90;FALSCH;687;Toys_Product;Toys;3;57,38404058;172,1521217;Cash;FALSCH;0;172,1521217;WAHR;;;Sunny;Christmas Market;4;FALSCH
6;26.11.2018;03:17:17;307;18;Male;City_4;79;FALSCH;589;Decorations_Product;Decorations;1;81,05898582;81,05898582;Online Payment;WAHR;8,105898582;72,953087238;WAHR;;;Rainy;Black Friday;3;WAHR
7;08.12.2020;08:26:56;368;63;Female;City_3;;WAHR;158;Food_Product;Food;3;48,15754232;144,4726269;Online Payment;FALSCH;0;144,4726269;WAHR;Express;2;Sunny;Christmas Market;3;WAHR
8;03.12.2020;16:02:24;121;48;Other;City_1;;WAHR;829;Clothing_Product;Clothing;3;97,06931545;291,2079463;Cash;WAHR;29,12079463;262,08715167;FALSCH;Standard;3;Rainy;Black Friday;5;FALSCH
9;10.11.2020;14:41:38;464;58;Other;City_19;87;FALSCH;987;Decorations_Product;Decorations;2;34,14224425;68,28448849;Debit Card;WAHR;6,828448849;61,456039641;FALSCH;;;Snowy;Black Friday;1;FALSCH
10;16.11.2019;00:08:13;252;41;Female;City_16;54;FALSCH;470;Clothing_Product;Clothing;1;37,04606705;37,04606705;Debit Card;FALSCH;3,704606705;33,341460345;FALSCH;;;Sunny;Black Friday;2;WAHR
11;06.12.2019;18:02:36;302;50;Female;City_13;47;FALSCH;670;Toys_Product;Toys;5;91,87703585;459,3851792;Debit Card;FALSCH;0;459,3851792;FALSCH;;;Rainy;Christmas Market;4;WAHR
12;11.11.2021;07:42:19;300;51;Other;City_13;;WAHR;755;Decorations_Product;Decorations;1;26,89912172;26,89912172;Online Payment;FALSCH;0;26,89912172;WAHR;Express;3;Sunny;Christmas Market;5;FALSCH
13;04.11.2022;06:54:03;175;20;Male;City_15;;WAHR;95;Electronics_Product;Electronics;3;48,97453114;146,9235934;Credit Card;FALSCH;14,69235934;132,23123406;FALSCH;Express;3;Rainy;Black Friday;4;FALSCH
14;07.11.2020;19:24:07;417;62;Female;City_5;38;FALSCH;460;Decorations_Product;Decorations;1;80,48414429;80,48414429;Debit Card;WAHR;0;80,48414429;WAHR;;;Snowy;Christmas Market;4;WAHR
15;28.12.2018;21:28:34;231;66;Female;City_11;;WAHR;609;Electronics_Product;Electronics;3;37,22133377;111,6640013;Debit Card;WAHR;0;111,6640013;WAHR;Standard;5;Rainy;Christmas Market;3;WAHR
16;24.12.2018;23:42:29;216;51;Male;City_2;;WAHR;540;Electronics_Product;Electronics;2;92,89284394;185,7856879;Credit Card;WAHR;0;185,7856879;FALSCH;Standard;2;Sunny;None;2;FALSCH
17;20.12.2019;07:56:53;447;23;Other;City_17;;WAHR;346;Clothing_Product;Clothing;1;47,16863787;47,16863787;Cash;FALSCH;0;47,16863787;FALSCH;Express;3;Rainy;Christmas Market;1;WAHR
18;11.11.2021;13:37:18;60;44;Other;City_20;;WAHR;488;Toys_Product;Toys;1;91,25614092;91,25614092;Debit Card;FALSCH;0;91,25614092;FALSCH;Express;5;Rainy;None;1;FALSCH
19;13.12.2018;20:42:36;450;52;Other;City_14;98;FALSCH;332;Decorations_Product;Decorations;3;20,88022516;62,64067547;Online Payment;WAHR;0;62,64067547;WAHR;;;Rainy;Christmas Market;5;FALSCH
20;29.12.2020;15:39:25;75;52;Female;City_2;69;FALSCH;267;Toys_Product;Toys;4;82,67500774;330,700031;Credit Card;WAHR;33,0700031;297,6300279;WAHR;;;Rainy;Black Friday;2;FALSCH
21;24.12.2022;06:52:48;315;37;Female;City_10;;WAHR;722;Decorations_Product;Decorations;2;48,9819344;97,96386881;Debit Card;FALSCH;0;97,96386881;FALSCH;Overnight;3;Sunny;Christmas Market;3;WAHR
22;28.11.2018;10:46:14;295;27;Female;City_3;64;FALSCH;138;Clothing_Product;Clothing;4;20,70010309;82,80041237;Cash;WAHR;8,280041237;74,520371133;FALSCH;;;Rainy;Black Friday;4;FALSCH
23;27.12.2020;10:13:37;354;44;Male;City_10;;WAHR;526;Food_Product;Food;3;36,72797537;110,1839261;Credit Card;FALSCH;11,01839261;99,16553349;WAHR;Standard;5;Sunny;Black Friday;2;FALSCH
24;18.11.2019;07:53:01;170;27;Female;City_12;61;FALSCH;521;Electronics_Product;Electronics;3;20,34166296;61,02498889;Online Payment;FALSCH;0;61,02498889;WAHR;;;Rainy;None;2;WAHR
25;30.11.2023;12:40:35;154;56;Other;City_16;;WAHR;251;Clothing_Product;Clothing;3;16,15314336;48,45943008;Credit Card;FALSCH;4,845943008;43,613487072;FALSCH;Express;5;Sunny;Black Friday;3;FALSCH
26;24.12.2018;22:31:32;113;18;Male;City_9;30;FALSCH;648;Decorations_Product;Decorations;2;29,32995627;58,65991254;Credit Card;FALSCH;5,865991254;52,793921286;WAHR;;;Snowy;Black Friday;2;FALSCH
